codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
12-12-0069-46,12-12-0082-46,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,True,True,True
12-12-0070-46,12-12-0078-46,"COLEGIO CIENTIFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,False,True,True
12-12-0070-46,12-12-0083-46,"COLEGIO CIENTIFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,False,True,True
12-12-0070-46,12-12-0085-46,"COLEGIO CIENTIFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,False,True,True
12-12-0071-46,12-12-0076-46,"LICEO ""SAN JOSÉ""","LICEO ""SAN JOSÉ""",100.0,100.0,True,True,True
12-12-0075-46,12-12-4537-46,"LICEO ""SAN JOSÉ""","LICEO ""SAN JOSÉ""",100.0,100.0,True,True,True
12-12-0078-46,12-12-0083-46,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,True,True,True
12-12-0078-46,12-12-0085-46,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,False,True,True
12-12-0083-46,12-12-0085-46,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",100.0,100.0,False,True,True
12-12-0100-46,12-12-0103-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,38.1,True,True,True
12-12-0100-46,12-12-0104-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,38.1,True,True,True
12-12-0100-46,12-12-0110-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,100.0,False,True,True
